,slice_file_name,fold,classID
0,section_00_source_train_normal_0001_pro_A_vel_4_loc_A.wav,1,0
1,section_00_source_train_normal_0002_pro_A_vel_4_loc_A.wav,1,0
2,section_00_source_train_normal_0003_pro_A_vel_4_loc_A.wav,5,0
3,section_00_source_train_normal_0004_pro_A_vel_4_loc_A.wav,7,0
4,section_00_source_train_normal_0005_pro_A_vel_4_loc_A.wav,9,0
5,section_00_source_train_normal_0006_pro_A_vel_4_loc_A.wav,9,0
6,section_00_source_train_normal_0007_pro_A_vel_4_loc_A.wav,5,0
7,section_00_source_train_normal_0008_pro_A_vel_4_loc_A.wav,7,0
8,section_00_source_train_normal_0009_pro_A_vel_4_loc_A.wav,10,0
9,section_00_source_train_normal_0010_pro_A_vel_4_loc_A.wav,9,0
10,section_00_source_train_normal_0011_pro_A_vel_4_loc_A.wav,5,0
11,section_00_source_train_normal_0012_pro_A_vel_4_loc_A.wav,10,0
12,section_00_source_train_normal_0013_pro_A_vel_4_loc_A.wav,4,0
13,section_00_source_train_normal_0014_pro_A_vel_4_loc_A.wav,4,0
14,section_00_source_train_normal_0015_pro_A_vel_4_loc_A.wav,10,0
15,section_00_source_train_normal_0016_pro_A_vel_4_loc_A.wav,1,0
16,section_00_source_train_normal_0017_pro_A_vel_4_loc_A.wav,4,0
17,section_00_source_train_normal_0018_pro_A_vel_4_loc_A.wav,5,0
18,section_00_source_train_normal_0019_pro_A_vel_4_loc_A.wav,3,0
19,section_00_source_train_normal_0020_pro_A_vel_4_loc_A.wav,8,0
20,section_00_source_train_normal_0021_pro_A_vel_4_loc_A.wav,9,0
21,section_00_source_train_normal_0022_pro_A_vel_4_loc_A.wav,6,0
22,section_00_source_train_normal_0023_pro_A_vel_4_loc_A.wav,2,0
23,section_00_source_train_normal_0024_pro_A_vel_4_loc_A.wav,6,0
24,section_00_source_train_normal_0025_pro_A_vel_4_loc_A.wav,2,0
25,section_00_source_train_normal_0026_pro_A_vel_4_loc_A.wav,2,0
26,section_00_source_train_normal_0027_pro_A_vel_4_loc_A.wav,1,0
27,section_00_source_train_normal_0028_pro_A_vel_4_loc_A.wav,8,0
28,section_00_source_train_normal_0029_pro_A_vel_4_loc_A.wav,10,0
29,section_00_source_train_normal_0030_pro_A_vel_4_loc_A.wav,10,0
30,section_00_source_train_normal_0031_pro_A_vel_4_loc_A.wav,9,0
31,section_00_source_train_normal_0032_pro_A_vel_4_loc_A.wav,3,0
32,section_00_source_train_normal_0033_pro_A_vel_4_loc_A.wav,6,0
33,section_00_source_train_normal_0034_pro_A_vel_4_loc_A.wav,8,0
34,section_00_source_train_normal_0035_pro_A_vel_4_loc_A.wav,9,0
35,section_00_source_train_normal_0036_pro_A_vel_4_loc_A.wav,9,0
36,section_00_source_train_normal_0037_pro_A_vel_4_loc_A.wav,5,0
37,section_00_source_train_normal_0038_pro_A_vel_4_loc_A.wav,8,0
38,section_00_source_train_normal_0039_pro_A_vel_4_loc_A.wav,3,0
39,section_00_source_train_normal_0040_pro_A_vel_4_loc_A.wav,4,0
40,section_00_source_train_normal_0041_pro_A_vel_4_loc_A.wav,8,0
41,section_00_source_train_normal_0042_pro_A_vel_4_loc_A.wav,2,0
42,section_00_source_train_normal_0043_pro_A_vel_4_loc_A.wav,6,0
43,section_00_source_train_normal_0044_pro_A_vel_4_loc_A.wav,1,0
44,section_00_source_train_normal_0045_pro_A_vel_4_loc_A.wav,3,0
45,section_00_source_train_normal_0046_pro_A_vel_4_loc_A.wav,6,0
46,section_00_source_train_normal_0047_pro_A_vel_4_loc_A.wav,10,0
47,section_00_source_train_normal_0048_pro_A_vel_4_loc_A.wav,4,0
48,section_00_source_train_normal_0049_pro_A_vel_4_loc_A.wav,8,0
49,section_00_source_train_normal_0050_pro_A_vel_4_loc_A.wav,6,0
50,section_00_source_train_normal_0051_pro_A_vel_4_loc_A.wav,6,0
51,section_00_source_train_normal_0052_pro_A_vel_4_loc_A.wav,7,0
52,section_00_source_train_normal_0053_pro_A_vel_4_loc_A.wav,8,0
53,section_00_source_train_normal_0054_pro_A_vel_4_loc_A.wav,1,0
54,section_00_source_train_normal_0055_pro_A_vel_4_loc_A.wav,10,0
55,section_00_source_train_normal_0056_pro_A_vel_4_loc_A.wav,4,0
56,section_00_source_train_normal_0057_pro_A_vel_4_loc_A.wav,2,0
57,section_00_source_train_normal_0058_pro_A_vel_4_loc_A.wav,4,0
58,section_00_source_train_normal_0059_pro_A_vel_4_loc_A.wav,9,0
59,section_00_source_train_normal_0060_pro_A_vel_4_loc_A.wav,8,0
60,section_00_source_train_normal_0061_pro_A_vel_4_loc_A.wav,6,0
61,section_00_source_train_normal_0062_pro_A_vel_12_loc_A.wav,3,0
62,section_00_source_train_normal_0063_pro_A_vel_12_loc_A.wav,6,0
63,section_00_source_train_normal_0064_pro_A_vel_12_loc_A.wav,8,0
64,section_00_source_train_normal_0065_pro_A_vel_12_loc_A.wav,2,0
65,section_00_source_train_normal_0066_pro_A_vel_12_loc_A.wav,3,0
66,section_00_source_train_normal_0067_pro_A_vel_12_loc_A.wav,4,0
67,section_00_source_train_normal_0068_pro_A_vel_12_loc_A.wav,8,0
68,section_00_source_train_normal_0069_pro_A_vel_12_loc_A.wav,4,0
69,section_00_source_train_normal_0070_pro_A_vel_12_loc_A.wav,3,0
70,section_00_source_train_normal_0071_pro_A_vel_12_loc_A.wav,10,0
71,section_00_source_train_normal_0072_pro_A_vel_12_loc_A.wav,9,0
72,section_00_source_train_normal_0073_pro_A_vel_12_loc_A.wav,4,0
73,section_00_source_train_normal_0074_pro_A_vel_12_loc_A.wav,2,0
74,section_00_source_train_normal_0075_pro_A_vel_12_loc_A.wav,8,0
75,section_00_source_train_normal_0076_pro_A_vel_12_loc_A.wav,6,0
76,section_00_source_train_normal_0077_pro_A_vel_12_loc_A.wav,2,0
77,section_00_source_train_normal_0078_pro_A_vel_12_loc_A.wav,4,0
78,section_00_source_train_normal_0079_pro_A_vel_12_loc_A.wav,2,0
79,section_00_source_train_normal_0080_pro_A_vel_12_loc_A.wav,5,0
80,section_00_source_train_normal_0081_pro_A_vel_12_loc_A.wav,1,0
81,section_00_source_train_normal_0082_pro_A_vel_12_loc_A.wav,2,0
82,section_00_source_train_normal_0083_pro_A_vel_12_loc_A.wav,5,0
83,section_00_source_train_normal_0084_pro_A_vel_12_loc_A.wav,1,0
84,section_00_source_train_normal_0085_pro_A_vel_12_loc_A.wav,9,0
85,section_00_source_train_normal_0086_pro_A_vel_12_loc_A.wav,3,0
86,section_00_source_train_normal_0087_pro_A_vel_12_loc_A.wav,1,0
87,section_00_source_train_normal_0088_pro_A_vel_12_loc_A.wav,2,0
88,section_00_source_train_normal_0089_pro_A_vel_12_loc_A.wav,6,0
89,section_00_source_train_normal_0090_pro_A_vel_12_loc_A.wav,2,0
90,section_00_source_train_normal_0091_pro_A_vel_12_loc_A.wav,10,0
91,section_00_source_train_normal_0092_pro_A_vel_12_loc_A.wav,1,0
92,section_00_source_train_normal_0093_pro_A_vel_12_loc_A.wav,6,0
93,section_00_source_train_normal_0094_pro_A_vel_12_loc_A.wav,10,0
94,section_00_source_train_normal_0095_pro_A_vel_12_loc_A.wav,4,0
95,section_00_source_train_normal_0096_pro_A_vel_12_loc_A.wav,3,0
96,section_00_source_train_normal_0097_pro_A_vel_12_loc_A.wav,7,0
97,section_00_source_train_normal_0098_pro_A_vel_12_loc_A.wav,10,0
98,section_00_source_train_normal_0099_pro_A_vel_12_loc_A.wav,4,0
99,section_00_source_train_normal_0100_pro_A_vel_12_loc_A.wav,5,0
100,section_00_source_train_normal_0101_pro_A_vel_12_loc_A.wav,7,0
101,section_00_source_train_normal_0102_pro_A_vel_12_loc_A.wav,5,0
102,section_00_source_train_normal_0103_pro_A_vel_12_loc_A.wav,6,0
103,section_00_source_train_normal_0104_pro_A_vel_12_loc_A.wav,2,0
104,section_00_source_train_normal_0105_pro_A_vel_12_loc_A.wav,5,0
105,section_00_source_train_normal_0106_pro_A_vel_12_loc_A.wav,10,0
106,section_00_source_train_normal_0107_pro_A_vel_12_loc_A.wav,8,0
107,section_00_source_train_normal_0108_pro_A_vel_12_loc_A.wav,7,0
108,section_00_source_train_normal_0109_pro_A_vel_12_loc_A.wav,1,0
109,section_00_source_train_normal_0110_pro_A_vel_12_loc_A.wav,1,0
110,section_00_source_train_normal_0111_pro_A_vel_12_loc_A.wav,4,0
111,section_00_source_train_normal_0112_pro_A_vel_12_loc_A.wav,2,0
112,section_00_source_train_normal_0113_pro_A_vel_12_loc_A.wav,1,0
113,section_00_source_train_normal_0114_pro_A_vel_12_loc_A.wav,3,0
114,section_00_source_train_normal_0115_pro_A_vel_12_loc_A.wav,10,0
115,section_00_source_train_normal_0116_pro_A_vel_12_loc_A.wav,9,0
116,section_00_source_train_normal_0117_pro_A_vel_12_loc_A.wav,2,0
